Gene	log2FoldChange	pvalue	padj_BH	padj_BO
ENSG00000138821.13_4	-0.930758774779294	6.20837256010446e-22	3.87377614260278e-19	1.23099611121751e-17
ENSG00000165512.5_3	-1.04680115647862	8.38659091834659e-22	5.03163198981879e-19	1.66289324728976e-17
ENSG00000089050.16_4	-1.49387512246228	1.07297260452049e-20	6.1989998733019e-18	2.12749008024323e-16
ENSG00000121871.4_4	4.17466107514372	1.44764929049602e-20	8.06495760087408e-18	2.87039901319551e-16
ENSG00000083720.13_3	-9.66161306597862	4.09781376125998e-20	2.20419989178946e-17	8.12514512582628e-16
ENSG00000204256.13_7	0.824292816902232	4.31583458953608e-20	2.24409012540578e-17	8.55743682413214e-16
ENSG00000176102.13_4	0.910816950657981	5.41104156365063e-20	2.72280120488342e-17	1.07290132124065e-15
ENSG00000084073.9_3	-0.903592822137109	5.60012111976662e-20	2.72988404210124e-17	1.11039201562733e-15
ENSG00000249550.6_4	-3.6225514370054	1.10819815654959e-19	5.23841910424761e-17	2.19733530480654e-15
ENSG00000132623.16_4	-2.18839130654561	1.29166419595105e-19	5.92607935077658e-17	2.56111176773174e-15
ENSG00000182827.9_3	-0.857842888942427	1.35528051790501e-19	6.04029165680009e-17	2.68725021090206e-15
ENSG00000176022.6_5	1.24631163494313	1.43613549640693e-19	6.22285489123658e-17	2.84756946227566e-15
ENSG00000162623.16_3	-1.27265877965008	4.27841147711888e-19	1.80375515220479e-16	8.48323427683131e-15
ENSG00000158164.7_3	-1.82135968131891	7.1322851349143e-19	2.92780304788232e-16	1.41418949655081e-14
ENSG00000155368.16_3	-0.83522244582208	1.68177948314057e-18	6.72668670705378e-16	3.33463235917112e-14
ENSG00000089327.14_4	-4.29915680952274	1.7780346164515e-18	6.93389049550672e-16	3.52548703750003e-14
ENSG00000099256.19_3	-1.66244597178261	1.86617464755855e-18	7.10011178713802e-16	3.7002510911791e-14
ENSG00000272077.1_5	-5.1347851007774	2.13039579838083e-18	7.91239144260537e-16	4.22414878902951e-14
ENSG00000167978.17_5	0.707639733584134	2.72321971529884e-18	9.87895449742946e-16	5.39960005149455e-14
ENSG00000164061.5_4	1.35921059551466	4.61550362962304e-18	1.63630093451113e-15	9.15162059681657e-14
ENSG00000114062.19_6	-0.890862841044457	5.04759716275301e-18	1.74972151426187e-15	1.00083756543067e-13
ENSG00000172901.20_5	4.52034102894072	8.99591169536857e-18	2.98568567097988e-15	1.78370937095768e-13
ENSG00000280322.1_6	-0.995544531543876	8.97152527499433e-18	2.98568567097988e-15	1.77887403152588e-13
ENSG00000272512.1_5	2.46804195454843	1.26554959737823e-17	4.11277253531313e-15	2.50933174168155e-13
ENSG00000009694.13_5	3.88485033398311	2.59028653654916e-17	8.24609789461845e-15	5.13602014466968e-13
ENSG00000091409.15_5	-1.43029931689986	3.26314307420182e-17	1.01803537628948e-14	6.47016008752737e-13
ENSG00000101000.6_5	-2.54044915169378	3.79831138214576e-17	1.16176194608023e-14	7.53129180851862e-13
ENSG00000115232.14_3	-2.11113261370336	5.13406732432613e-17	1.54012146523391e-14	1.01798286906739e-12
ENSG00000152256.13_5	-1.18319928718865	9.07145965244646e-17	2.66991885129268e-14	1.79868901988708e-12
ENSG00000235750.10_3	-3.28014690205363	1.0135056352964e-16	2.92771748240527e-14	2.00957897366569e-12
ENSG00000123240.17_5	-1.85357846901448	1.26065427282433e-16	3.57544472759759e-14	2.49962529215608e-12
ENSG00000115414.19_5	-1.23222417897488	2.46576703778212e-16	6.79480552542345e-14	4.88912288251439e-12
ENSG00000186462.8_3	-2.64478704815328	2.4828765622741e-16	6.79480552542345e-14	4.92304764767709e-12
ENSG00000048471.14_4	1.03904596514148	3.25684807692599e-16	8.75923675033939e-14	6.45767836692885e-12
ENSG00000078804.13_4	-1.55295178450887	1.24081429861017e-15	3.28058682102034e-13	2.46028659128424e-11
ENSG00000183023.18_4	-2.66602690845344	1.9043846479868e-15	4.95108268732436e-13	3.77601388002824e-11
ENSG00000077232.18_5	-0.745652520319294	3.19075045349351e-15	8.1594289055812e-13	6.32661999918694e-11
ENSG00000114993.16_3	-1.87585279078627	3.43760986590466e-15	8.6489155319753e-13	6.81609284211577e-11
ENSG00000055732.13_3	-1.83131594053135	4.35345636693735e-15	1.07792961695009e-12	8.63203328436337e-11
ENSG00000182674.6_4	-3.99625881836	4.90304837741389e-15	1.19504143186374e-12	9.72176432273626e-11
ENSG00000143494.15_5	-1.06531336237425	5.22014875136069e-15	1.25275539034578e-12	1.0350510944198e-10
ENSG00000272763.1_5	-5.02518689361538	5.5307075990028e-15	1.30717436116431e-12	1.09662870273028e-10
ENSG00000116962.15_3	-0.810869109828021	6.05709648936481e-15	1.41021862891943e-12	1.20100109191125e-10
ENSG00000130414.12_4	-1.08553189686074	6.79848722693708e-15	1.53695075728973e-12	1.34800404735708e-10
ENSG00000132204.13_4	9.63559827451649	6.71800668378105e-15	1.53695075728973e-12	1.33204636526011e-10
ENSG00000118873.16_4	-0.738419531956155	7.07097030682132e-15	1.57571522594437e-12	1.40203199243653e-10
ENSG00000125844.15_7	-0.826100259796058	1.00642165906985e-14	2.2111509098353e-12	1.9955328656037e-10
ENSG00000115828.17_4	-2.22586498539129	1.18456411786118e-14	2.56639106590507e-12	2.34875373289514e-10
ENSG00000101367.9_3	-0.626125475359636	1.23742967764385e-14	2.64420075911868e-12	2.45357556483222e-10
ENSG00000198380.12_2	-0.788437008613506	1.40547014179744e-14	2.9626930732295e-12	2.78676619715597e-10
ENSG00000107099.15_3	-3.44616250866806	1.56632775544525e-14	3.23480624611461e-12	3.10571467349684e-10
ENSG00000166913.13_4	-0.614530542382094	1.57603227581711e-14	3.23480624611461e-12	3.12495679649016e-10
ENSG00000131773.14_4	1.00090838278336	1.62764160667873e-14	3.25507454135661e-12	3.22728777772259e-10
ENSG00000253729.7_3	-1.12450668901895	1.6176779446079e-14	3.25507454135661e-12	3.20753182856854e-10
ENSG00000162722.9_3	-4.80007655324524	1.80734221209999e-14	3.56870014766427e-12	3.58359813815186e-10
ENSG00000153250.20_4	-0.779372784341626	1.89827404732707e-14	3.70139710803188e-12	3.76389778104012e-10
ENSG00000164318.18_4	-3.81068609791999	2.63790614168523e-14	5.08008616100592e-12	5.23044029773348e-10
ENSG00000144026.12_5	-1.41473685183168	4.37961475865039e-14	8.33141592929115e-12	8.68390014345199e-10
ENSG00000242498.8_4	-0.759401400669938	4.94914188654417e-14	9.30140533592801e-12	9.81315853263978e-10
ENSG00000120594.17_3	-2.98559820810057	6.96331556554641e-14	1.29310427984474e-11	1.38068621033654e-09
ENSG00000136193.17_4	-1.25820423715412	7.19963236982187e-14	1.32125959219825e-11	1.42754310628828e-09
ENSG00000104529.17_6	-0.783705360430377	1.0434727507333e-13	1.89268970217312e-11	2.06899777015399e-09
ENSG00000138449.10_3	-2.591032120196	1.48745470965345e-13	2.66698919722806e-11	2.94932519830086e-09
ENSG00000179344.16_4	-2.01556867080241	1.80339083162078e-13	3.19671517982416e-11	3.57576334093769e-09
ENSG00000143801.17_6	-1.17930099386769	2.21941160755285e-13	3.88995524339516e-11	4.40064933545579e-09
ENSG00000101166.16_3	-0.648915563921795	2.26372980981824e-13	3.92354681148386e-11	4.48852346690761e-09
ENSG00000103197.18_5	1.16607518338142	2.49473886336085e-13	4.27642104720505e-11	4.9465682182719e-09
ENSG00000182013.18_6	0.849734347578781	2.66976176828749e-13	4.52669715473006e-11	5.29360363416043e-09
ENSG00000088832.17_4	-0.690072131579378	3.06983719306941e-13	5.14907423383761e-11	6.08687318641803e-09
ENSG00000128708.13_3	-0.63680636713752	3.21511730766016e-13	5.3353845619352e-11	6.37493459762857e-09
ENSG00000273199.1_5	3.00406835960032	3.32765561716184e-13	5.46401052337974e-11	6.5980755577085e-09
ENSG00000100181.22_7	-7.63335462341542	3.43474611837252e-13	5.58110465630135e-11	6.81041460350903e-09
ENSG00000181450.17_3	-0.901705259243114	3.90825041475696e-13	6.28503074430864e-11	7.7492789223801e-09
ENSG00000137727.12_2	-1.36601688449045	4.85087078673579e-13	7.72129932676445e-11	9.61830659593973e-09
ENSG00000104177.18_4	-2.44138238660711	5.62732996786131e-13	8.86673941097662e-11	1.11578698602754e-08
ENSG00000143742.13_4	-0.715886162262813	7.16310928573974e-13	1.11737341748254e-10	1.42030130917648e-08
ENSG00000168702.17_3	-1.98674960417812	7.49744185136583e-13	1.15794648949956e-10	1.48659277028882e-08
ENSG00000140157.14_5	-0.895868671758469	1.05856748301171e-12	1.61888178112742e-10	2.09892760531562e-08
ENSG00000225648.5_4	0.895301315932297	1.14174700609642e-12	1.72913704350467e-10	2.26385596368799e-08
ENSG00000174371.17_4	-0.688446353366478	1.26862252419774e-12	1.90281180336159e-10	2.51542474097927e-08
ENSG00000165025.15_3	-5.6163406604073	1.49790266343014e-12	2.22531272827112e-10	2.97004140104928e-08
ENSG00000138771.16_5	-1.20146156040258	1.77549491389104e-12	2.61282501526286e-10	3.52045131526315e-08
ENSG00000144228.8_3	-0.983905201917127	1.86263756775303e-12	2.71544704854014e-10	3.69323776934071e-08
ENSG00000106078.19_5	-1.63715943279192	2.07022764991961e-12	2.99013713991629e-10	4.1048473842606e-08
ENSG00000159399.9_3	-0.65290648496686	2.54875256387718e-12	3.64752213246973e-10	5.05366658365567e-08
ENSG00000138069.18_4	-0.635072112940707	2.69865412283976e-12	3.79245996956553e-10	5.35089139476667e-08
ENSG00000225138.7_5	1.12316242899922	2.69241979571199e-12	3.79245996956553e-10	5.33852997093774e-08
ENSG00000136717.15_5	-1.44636376899457	2.78342383643878e-12	3.8766632521972e-10	5.51897278289082e-08
ENSG00000106785.15_3	-1.25743048866657	3.21380505904538e-12	4.43647301911937e-10	6.37233267107518e-08
ENSG00000115084.14_3	-0.745117917879698	4.31699818203894e-12	5.90709251242329e-10	8.55974399534681e-08
ENSG00000182272.12_4	-2.31093727301053	5.27288382484701e-12	7.15232302467726e-10	1.04550740479067e-07
ENSG00000143799.13_3	-0.737273024785603	5.39505625290833e-12	7.25495538699285e-10	1.06973175382666e-07
ENSG00000150893.11_3	-0.935651004409436	5.63293238146395e-12	7.51009506140651e-10	1.11689783259667e-07
ENSG00000169607.13_3	-0.7551448537522	5.85589400286286e-12	7.74119411446252e-10	1.16110666288765e-07
